Salary,Spending,D2,D3,
19583.00,3346,1,0,
20263.00,3114,1,0,
20325.00,3554,1,0,
26800.00,4642,1,0,
29470.00,4669,1,0,
26610.00,4888,1,0,
30678.00,5710,1,0,
27170.00,5536,1,0,
25853.00,4168,1,0,
24500.00,3547,1,0,
24274.00,3159,1,0,
27170.00,3621,1,0,
30168.00,3782,1,0,
26525.00,4247,1,0,
27360.00,3982,1,0,
21690.00,3568,1,0,
21974.00,3155,1,0,
20816.00,3059,1,0,
18095.00,2967,1,0,
20939.00,3285,1,0,
22644.00,3914,1,0,
24624.00,4517,0,1,
27186.00,4349,0,1,
33990.00,5020,0,1,
23382.00,3594,0,1,
20627.00,2821,0,1,
22795.00,3366,0,1,
21570.00,2920,0,1,
22080.00,2980,0,1,
22250.00,3731,0,1,
20940.00,2853,0,1,
21800.00,2533,0,1,
22934.00,2729,0,1,
18443.00,2305,0,1,
19538.00,2642,0,1,
20460.00,3124,0,1,
21419.00,2752,0,1,
25160.00,3429,0,1,
22482.00,3947,0,0,
20969.00,2509,0,0,
27224.00,5440,0,0,
25892.00,4042,0,0,
22644.00,3402,0,0,
24640.00,2829,0,0,
22341.00,2297,0,0,
25610.00,2932,0,0,
26015.00,3705,0,0,
25788.00,4123,0,0,
29132.00,3608,0,0,
41480.00,8349,0,0,
25845.00,3766,0,0,
