Year, Annual  ,Jan-Feb,  Mar-May   ,June-Sept   ,Oct-Dec   
1901,25.62,20.53,27.80,28.21,23.37
1902,25.62,21.20,28.06,28.07,22.87
1903,25.22,20.39,27.18,28.09,22.65
1904,25.14,20.20,27.38,27.62,22.89
1905,25.06,18.80,26.54,28.28,23.45
1906,25.38,20.19,27.55,27.85,23.40
1907,25.23,20.89,26.76,27.80,23.15
1908,25.18,20.48,27.65,27.68,22.52
1909,25.15,20.45,27.29,27.38,23.17
1910,25.02,20.60,27.38,27.49,22.31
1901-10,25.26,20.37,27.36,27.85,22.98
1911,25.28,20.71,27.10,27.88,23.02
1912,25.42,21.26,27.50,27.96,22.71
1913,25.18,20.67,27.19,27.68,22.85
1914,25.29,20.89,27.11,27.78,23.09
1915,25.63,20.50,27.61,28.38,23.43
1916,25.29,20.61,28.01,27.56,22.66
1917,24.76,20.57,26.36,27.36,22.47
1918,25.16,20.13,26.95,27.84,23.15
1919,25.36,20.87,27.50,27.75,23.03
1920,25.35,20.65,27.10,27.87,23.39
1911-20,25.27,20.68,27.24,27.81,22.98
1921,25.67,21.26,28.61,27.77,22.86
1922,25.38,20.91,28.01,27.68,22.67
1923,25.36,20.39,27.61,27.96,22.96
1924,25.50,20.78,27.98,27.99,22.85
1925,25.20,19.82,27.68,27.64,23.05
1926,25.37,21.29,26.95,28.19,22.77
1927,25.25,20.54,27.15,27.74,23.15
1928,25.55,21.06,27.75,27.85,23.28
1929,25.40,20.50,27.92,27.77,22.97
1930,25.28,20.33,27.42,27.73,23.17
1921-30,25.40,20.69,27.71,27.83,22.97
1931,25.70,21.20,27.92,28.10,23.30
1932,25.51,20.86,27.50,27.96,23.34
1933,25.18,20.82,26.97,27.54,23.17
1934,25.33,20.67,27.52,27.81,22.95
1935,25.34,20.62,27.46,27.70,23.20
1936,25.40,20.77,27.63,27.55,23.40
1937,25.30,20.84,27.23,27.95,22.81
1938,25.38,20.68,28.12,27.54,22.89
1939,25.36,21.04,27.16,27.79,23.21
1940,25.27,20.59,27.00,27.84,23.24
1931-40,25.38,20.81,27.45,27.78,23.15
1941,25.88,20.93,28.35,28.11,23.72
1942,25.51,20.86,28.01,27.92,22.90
1943,25.12,20.24,27.13,27.64,22.99
1944,25.18,20.00,27.10,27.95,23.00
1945,24.99,19.56,27.24,28.06,22.26
1946,25.51,21.10,27.53,27.76,23.43
1947,25.58,20.75,27.90,28.08,23.14
1948,25.54,20.92,27.74,27.95,23.22
1949,25.40,21.00,27.69,27.84,22.80
1950,25.10,20.45,27.28,27.64,22.65
1941-50,25.38,20.58,27.60,27.90,23.01
1951,25.52,20.45,27.15,28.09,23.85
1952,25.61,21.59,27.60,27.96,23.15
1953,25.81,21.20,28.42,27.99,23.37
1954,25.46,20.96,28.13,27.82,22.63
1955,25.24,21.02,27.35,27.67,22.71
1956,25.17,20.47,27.83,27.29,22.81
1957,25.38,20.41,27.03,28.00,23.54
1958,25.95,21.63,28.13,28.25,23.59
1959,25.55,20.77,27.96,27.86,23.26
1960,25.57,21.26,27.37,28.07,23.30
1951-60,25.53,20.97,27.70,27.90,23.22
1961,25.19,20.50,27.77,27.65,22.47
1962,25.23,20.20,27.47,27.91,22.76
1963,25.46,20.82,27.20,27.94,23.49
1964,25.44,20.64,28.02,27.69,23.08
1965,25.43,21.08,26.92,27.93,23.52
1966,25.72,21.68,27.80,27.97,23.35
1967,25.38,21.06,27.14,27.88,23.19
1968,25.31,20.16,27.25,28.00,23.22
1969,25.78,20.92,28.08,28.08,23.66
1970,25.46,21.05,27.89,27.74,22.93
1961-70,25.44,20.81,27.55,27.88,23.17
1971,25.07,20.58,27.20,27.41,22.82
1972,25.44,20.15,27.43,28.13,23.38
1973,25.60,21.29,28.11,27.90,22.91
1974,25.32,20.21,27.74,27.86,22.92
1975,25.10,20.30,27.55,27.44,22.73
1976,25.38,20.50,27.26,27.63,23.77
1977,25.55,20.90,27.51,27.79,23.70
1978,25.44,20.47,27.52,27.69,23.67
1979,25.87,20.96,27.60,28.37,24.07
1980,25.83,21.23,28.15,28.03,23.64
1971-80,25.46,20.66,27.61,27.83,23.36
1981,25.53,20.93,27.59,28.06,23.18
1982,25.51,20.83,27.05,28.17,23.54
1983,25.42,20.60,27.18,28.26,23.09
1984,25.48,20.41,28.03,27.76,23.25
1985,25.66,21.09,28.20,27.82,23.28
1986,25.49,20.77,27.56,27.92,23.34
1987,25.90,21.21,27.49,28.67,23.75
1988,25.78,21.59,27.90,28.03,23.48
1989,25.38,20.56,27.44,27.74,23.39
1990,25.52,21.33,27.14,27.89,23.53
1981-90,25.57,20.93,27.56,28.03,23.38
1991,25.66,21.11,27.77,28.13,23.30
1992,25.53,20.64,27.43,28.08,23.48
1993,25.75,21.20,27.61,28.19,23.68
1994,25.66,21.32,27.82,27.94,23.37
1995,25.74,20.95,27.65,28.29,23.62
1996,25.69,21.27,27.91,28.01,23.32
1997,25.65,20.71,27.48,28.26,23.62
1998,26.00,21.37,28.06,28.41,23.81
1999,25.82,21.31,27.99,28.00,23.75
2000,25.80,21.03,27.87,27.95,24.06
1991-2000,25.73,21.09,27.76,28.12,23.60
2001,25.61,20.81,27.74,27.91,23.62
2002,25.75,20.76,28.03,28.16,23.58
2003,25.61,20.73,27.84,28.09,23.34
2004,25.66,20.80,28.12,28.02,23.32
2005,25.59,20.83,27.72,28.24,23.12
2006,25.73,21.43,27.70,28.01,23.60
2007,25.68,20.95,27.86,28.10,23.43
2008,25.56,20.29,27.71,27.84,23.87
2009,26.05,21.61,28.13,28.54,23.63
2010,26.04,21.13,28.91,28.19,23.59
2011,25.63,20.55,27.68,28.04,23.73
2012,25.61,20.40,27.83,28.25,23.35
2013,25.69,20.96,28.05,28.02,23.37
2014,25.74,20.56,27.63,28.56,23.55
2015,25.93,21.08,27.64,28.45,24.10
2016,26.21,21.83,28.66,28.34,23.84
2017,26.04,21.40,28.22,28.38,23.85
2018,25.90,21.27,28.17,28.27,23.57
2019,25.86,20.71,28.00,28.60,23.49
