state,RegisteredDeath21,RegisteredDeath,Percentage
Punjab,209432,213234,98.2
Mizoram,5312,5525,96.1
Chandigarh,22345,23330,95.8
Delhi,145533,152174,95.6
Puducherry,11987,12839,93.4
Himachal Pradesh,38636,41833,92.4
Gujarat,399739,433256,92.3
D & N Haveli,1987,2174,91.4
Daman & Diu,1065,1169,91.1
Andhra Pradesh,341581,375777,90.9
Tamil Nadu,521704,574006,90.9
Odisha,295558,328799,89.9
Goa,11595,13248,87.5
A & N Islands,2003,2304,86.9
Lakshadweep,272,314,86.6
Madhya Pradesh,344330,424257,81.2
Chhattisgarh,136747,177549,77
Meghalaya,11084,14779,75
Tripura,21135,29080,72.7
Jammu & Kashmir,28632,39410,72.7
Assam,101803,142605,71.4
Telangana,94300,136528,69.1
West Bengal,334327,490530,68.2
Rajasthan,295556,443173,66.7
Karnataka,309842,483511,64.1
Kerala,161891,258530,62.6
Manipur,1622,5026,32.3
Nagaland,179,828,21.6
Arunachal Pradesh,433,3860,11.2
