state,RuralMale,RuralFemale,RuralTotalPerson,UrbanMale,UrbanFemale,UrbanTotalPerson,TotalMale,TotalFemale,TotalTotalPerson
India,2357306,1641665,4001211,1783186,1165907,2949396,4140492,2807572,6950607
Andhra Pradesh,148170,93613,241783,82807,51187,133994,230977,144800,375777
Arunachal Pradesh,1385,397,1782,1596,482,2078,2981,879,3860
Assam,63072,38350,101422,26160,15023,41183,89232,53373,142605
Bihar,92754,56043,148797,39024,26168,65192,131778,82211,213989
Chhattisgarh,62603,49857,114631,38554,24147,62918,101157,74004,177549
Goa,5567,3820,9388,2208,1476,3684,7775,5296,13072
Gujarat,137284,92073,229357,121346,82553,203899,258630,174626,433256
Haryana,63064,39026,102090,54148,29604,83752,117212,68630,185842
Himachal Pradesh,19433,14437,33880,4874,3078,7953,24307,17515,41833
Jammu & Kashmir,14453,11008,25461,7607,6342,13949,22060,17350,39410
Jharkhand,35127,25126,60253,26057,16419,42476,61184,41545,102729
Karnataka,162339,104785,267124,134228,82159,216387,296567,186944,483511
Kerala,87913,75428,163346,54890,40291,95184,142803,115719,258530
Madhya Pradesh,162458,94562,257020,100533,66704,167237,262991,161266,424257
Maharashtra,151196,118710,269923,235388,162582,397977,386584,281292,667900
Manipur,1968,450,2418,1564,494,2058,3532,944,4476
Meghalaya,6590,4615,11205,2217,1357,3574,8807,5972,14779
Mizoram,1300,848,2148,2202,1175,3377,3502,2023,5525
Nagaland,244,98,342,371,115,486,615,213,828
Odisha,135402,107277,242679,53299,32821,86120,188701,140098,328799
Punjab,65394,47042,112436,60027,40771,100798,125421,87813,213234
Rajasthan,200108,102658,302796,89747,50610,140377,289855,153268,443173
Sikkim,831,518,1349,1233,804,2037,2064,1322,3386
Tamil Nadu,167554,115218,282772,176721,114513,291234,344275,229731,574006
Telangana,46949,36895,83844,31821,20863,52684,78770,57758,136528
Tripura,11264,7766,19031,6014,4033,10049,17278,11799,29080
Uttarakhand,17615,11331,28946,11813,7135,18948,29428,18466,47894
Uttar Pradesh,322919,267757,590676,185236,130741,315977,508155,398498,906653
West Bengal,157847,113428,271275,129699,89556,219255,287546,202984,490530
A & N Islands,681,436,1117,728,392,1120,1409,828,2237
Chandigarh,114,62,176,14907,8232,23154,15021,8294,23330
D & N Haveli,501,390,892,829,453,1282,1330,843,2174
Daman & Diu,468,261,730,244,195,439,712,456,1169
Delhi,10974,6152,17129,78670,49696,128404,89644,55848,145533
Lakshadweep,169,145,314,-,-,-,169,145,314
Puducherry,1596,1083,2679,6424,3736,10160,8020,4819,12839
