state,estimatedBirths,RegisteredBirths,EstimatedDeaths,RegisteredDeaths
,843223,760716,353100,375777
Andhra,702335,767856,213030,142605
Assam,2792134,2241089,618106,213989
Bihar,598253,570056,212712,177549
Chattisgarh,1269744,1168516,380279,433256
Gujarat,576175,541405,167460,185842
Haryana,195672,153590,62259,39410
Jammu kashmir,782435,669766,186953,102729
Jharkand,1094092,1028934,400743,483511
karnataka,502138,488174,249263,258530
kerala,1977938,1486794,538707,424257
Madhya Pradesh,1925056,1733501,678706,667900
Maharashtra,786968,676542,315652,328799
Odisha,439693,403200,196079,213234
Punjab,1804968,1743150,443721,443173
Rajasthan,1031249,915406,455995,574006
Tamil,628842,652791,234420,136528
Telangana,5784576,4634084,1491336,906653
Uttar pradesh,182531,203822,67766,47894
Uttarakhand,1430520,1473914,534061,490530
West bengal,,,,
