TEM,pH,NaC1,NO2,n,B,M,E.G.R,GT,LPD,MPD
12,5.5,20,200,1,0,NA,0,NA,NA,NA
12,5.5,35,50,1,0,NA,0,NA,NA,NA
12,6.5,5,0,1,0.028,54.4,0.071,4.2,18.7,10
12,6.5,5,50,1,0.0282,61.3,0.068,4.4,25.8,9.7
12,6.5,5,100,1,0.0317,59.1,0.077,3.9,27.5,9.7
12,6.5,5,150,1,0.0292,56.5,0.069,4.3,22.3,9.4
12,6.5,5,200,1,0.0161,116.7,0.04,7.6,54.6,9.7
12,6.5,20,200,1,0.0141,111.4,0.023,13.3,40.5,7.4
12,7.5,5,200,1,0.0195,102.8,0.051,5.9,51.5,10
12,7.5,20,200,1,0.0164,109.5,0.035,8.6,44.5,9.1
19,5.5,5,50,2,0.0969,24.9,0.216,1.4,13.8,9.3
19,5.5,5,100,1,0.04,69.9,0.103,2.9,44.9,10.1
19,5.5,5,150,1,0,NA,0,NA,NA,NA
19,5.5,5,200,1,0,NA,0,NA,NA,NA
19,6.5,5,50,1,0.0795,17.7,0.199,1.5,5.1,9.9
19,6.5,5,100,1,0.0989,24.8,0.245,1.2,14.7,9.9
19,6.5,5,150,1,0.0783,18.4,0.192,1.6,5.6,9.5
19,6.5,5,200,1,0.0778,18.7,0.187,1.6,5.8,9.5
19,7.5,5,100,1,0.0908,20.1,0.228,1.3,9.1,9.9
19,7.5,50,200,1,0.0182,102,0.039,7.7,47.1,8.8
28,4.5,5,200,1,0,NA,0,NA,NA,NA
28,5.5,5,200,1,0.1125,48.4,0.257,1.2,39.5,9.4
28,5.5,20,100,1,0.3124,25.2,0.64,0.5,22,8.7
28,5.5,35,50,1,0.2802,25.1,0.656,0.5,21.6,9.3
28,6.5,5,50,1,0.2811,6.2,0.667,0.5,2.7,9.6
28,6.5,5,100,1,0.2107,6.2,0.494,0.6,1.5,9.5
28,6.5,5,150,1,0.2754,6.2,0.641,0.5,2.7,9.5
28,6.5,5,200,3,0.2593,6.1,0.565,0.5,2.2,9.1
28,6.5,20,150,2,0.1662,9.3,0.421,0.7,3.1,9.6
28,6.5,35,100,2,0.1898,12.1,0.459,0.7,6.8,9.5
28,6.5,35,150,1,0.171,11.7,0.432,0.7,5.8,10
28,6.5,50,50,3,0.0915,18.9,0.228,1.3,8,9.6
28,6.5,50,100,3,0.0829,21.1,0.201,1.5,9.1,9.7
28,6.5,50,150,3,0.1126,18.5,0.261,1.2,9.7,9.4
28,6.5,50,200,3,0.1924,20.8,0.426,0.7,15.6,9.2
28,7.5,50,200,2,0.1121,26.1,0.269,1.1,17.1,9.5
28,8.5,5,200,2,0.1545,8,0.361,0.9,1.2,9.5
37,5.5,5,200,1,0.1377,11.6,0.34,0.9,4.4,9
37,5.5,50,150,1,0.0888,73.1,0.164,1.8,61.8,8.1
37,6.5,5,50,1,0.3842,4.3,0.873,0.3,1.7,9.4
37,6.5,5,100,1,0.3859,4.5,0.879,0.3,1.9,9.4
37,6.5,5,150,1,0.351,4.4,0.804,0.4,1.6,9.4
37,6.5,5,200,1,0.319,4.6,0.737,0.4,1.4,9.3
37,6.5,50,50,1,0.1728,23,0.375,0.8,17.3,9
37,6.5,50,100,1,0.238,22.4,0.512,0.6,18.2,8.9
37,7.5,5,200,1,0.4255,3.7,1.053,0.3,1.4,9.8
37,7.5,50,50,1,0.1598,14.2,0.361,0.8,7,9
37,7.5,50,200,2,0.1709,18.7,0.488,0.8,12.8,9.4
