T.E.M,p.H,NaCI,NO2,n,B,M,E.G.R,G.T,L.P.D,M.P.D
12,5.5,20,200,1,0,NA,0,NA,NA,NA
12,5.5,35,50,1,0,NA,0,NA,NA,NA
12,6.5,5,0,1,0.0279,51.6,0.066,4.6,15.7,9.5
12,6.5,5,50,1,0.025,56,0.06,5,16,9.7
12,6.5,5,100,1,0.0285,53.8,0.067,4.5,18.7,9.6
12,6.5,5,150,1,0.033,54.6,0.07,4.3,24.3,8.8
12,6.5,5,200,1,0.0177,118.1,0.04,7.6,61.6,9.1
12,6.5,20,200,1,0,NA,0,NA,NA,NA
12,7.5,5,200,1,0.0219,106,0.054,5.6,60.4,9.5
12,7.5,20,200,1,0.0164,113.2,0.035,8.7,52.3,8.7
19,5.5,5,50,1,0.0731,65.9,0.193,1.6,52.2,10.2
19,5.5,5,100,1,0.0383,59.6,0.098,3.1,33.5,9.8
19,5.5,5,150,1,0,NA,0,NA,NA,NA
19,5.5,5,200,1,0,NA,0,NA,NA,NA
19,6.5,5,50,1,0.1009,14.9,0.225,1.3,5,9.1
19,6.5,5,100,1,0.0926,15.7,0.214,1.4,4.9,9.2
19,6.5,5,150,2,0.0896,16.5,0.205,1.5,5.3,9.2
19,6.5,5,200,2,0.0774,20.1,0.18,1.7,7,9.4
19,7.5,5,100,1,0.0861,17.5,0.201,1.5,5.9,9.3
19,7.5,50,200,1,0.0161,107.8,0.031,9.6,45.6,8.2
28,4.5,5,200,1,0,NA,0,NA,NA,NA
28,5.5,5,200,1,0.0859,71.8,0.189,1.6,60.7,8.9
28,5.5,20,100,1,0.0935,48.2,0.213,1.4,37.5,9.2
28,5.5,35,50,1,0.0489,96.1,0.096,3.1,75.7,8.3
28,6.5,5,50,1,0.3022,5.9,0.661,0.5,2.6,9.1
28,6.5,5,100,1,0.199,6.2,0.451,0.7,1.7,9.3
28,6.5,5,150,1,0.3077,7.6,0.692,0.4,4.4,9.3
28,6.5,5,200,3,0.1683,10.4,0.377,0.8,4.5,9.3
28,6.5,20,150,2,0.2038,9.9,0.466,0.7,5,9.2
28,6.5,35,100,2,0.187,11.8,0.455,0.7,6.4,9.2
28,6.5,35,150,1,0.1677,10.9,0.395,0.8,4.9,9.5
28,6.5,50,50,3,0.1112,17.3,0.233,1.3,8.4,8.6
28,6.5,50,100,3,0.124,18.3,0.247,1.2,10.2,8.5
28,6.5,50,150,3,0.1279,14.8,0.268,1.1,6.9,8.8
28,6.5,50,200,3,0.2055,21.5,0.401,0.8,16.6,8.3
28,7.5,5,200,1,0.2503,6.3,0.566,0.5,2.3,9.1
28,7.5,50,200,2,0.0951,21.6,0.212,1.4,11.1,9
28,8.5,5,200,1,0.1692,10.7,0.385,0.8,4.8,9.2
37,5.5,5,200,1,0.2134,38.1,0.444,0.7,33.4,8.6
37,5.5,50,150,1,0,NA,0,NA,NA,NA
37,6.5,5,50,1,0.3891,4.1,0.814,0.4,1.5,8.8
37,6.5,5,100,1,0.3812,4.2,0.785,0.4,1.6,8.8
37,6.5,5,150,1,0.3958,4.7,0.834,0.4,2.2,8.8
37,6.5,5,200,1,0.3519,4.5,0.739,0.4,1.7,8.8
37,6.5,50,50,1,0.1754,12.1,0.378,0.8,6.4,8.8
37,6.5,50,100,2,0.1953,11.5,0.409,0.7,6.3,8.6
37,6.5,50,200,1,0.1448,13.2,0.315,1,6.3,8.9
37,7.5,5,200,1,0.4628,3.5,1.103,0.3,1.3,9.6
37,7.5,50,50,1,0.1386,11.6,0.326,0.9,4.4,9.1
